imdb_id,imdb_name,imdb_year,imdb_rating,imdb_genre,imdb_cast,imdb_outline
tt0090583,About Last Night...,1986,6.2,"['Comedy', 'Drama', 'Romance']","[<Person: 'Rob Lowe' ('nm0000507')>, <Person: 'Demi Moore' ('nm0000193')>, <Person: 'Jim Belushi' ('nm0000902')>, <Person: 'Elizabeth Perkins' ('nm0001610')>]","A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends."
tt2194499,About Time,2013,7.8,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']","[<Person: 'Domhnall Gleeson' ('nm1727304')>, <Person: 'Rachel McAdams' ('nm1046097')>, <Person: 'Bill Nighy' ('nm0631490')>, <Person: 'Lydia Wilson' ('nm3575723')>]","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
tt2179226,Absolute Deception,2013,4.3,['Action'],"[<Person: 'Cuba Gooding Jr.' ('nm0000421')>, <Person: 'Emmanuelle Vaugier' ('nm0891275')>, <Person: 'Evert McQueen' ('nm2704789')>, <Person: 'Ty Hungerford' ('nm0810235')>]","A widowed reporter recruits the help of a federal agent to investigate her late husband's secrets, but the two become the target of unknown attackers."
tt1137470,Accidental Love,2015,4,"['Comedy', 'Romance']","[<Person: 'Jessica Biel' ('nm0004754')>, <Person: 'Raymond L. Brown Jr.' ('nm7102025')>, <Person: 'Jenny Gulley' ('nm2661138')>, <Person: ""Beverly D'Angelo"" ('nm0000350')>]","A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, D.C., where sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?"
tt0068168,Across 110th Street,1972,7,"['Action', 'Crime', 'Drama', 'Thriller']","[<Person: 'Anthony Quinn' ('nm0000063')>, <Person: 'Yaphet Kotto' ('nm0001433')>, <Person: 'Anthony Franciosa' ('nm0290047')>, <Person: 'Frank Adu' ('nm0012524')>]",Two New York City cops go after amateur crooks who are trying to rip off the Mafia and start a gang war.
tt0368563,Possession,2008,5.6,"['Drama', 'Mystery', 'Thriller']","[<Person: 'Sarah Michelle Gellar' ('nm0001264')>, <Person: 'Lee Pace' ('nm1195855')>, <Person: 'Michael Landes' ('nm0484678')>, <Person: 'Tuva Novotny' ('nm0637259')>]","A woman's life is thrown into chaos after a freak car accident sends her husband and brother-in-law into comas. Thrills arrive after the brother-in-law wakes up, thinking he's his brother."
tt2565280,Adormidera,2013,4.2,"['Action', 'Adventure', 'Fantasy']","[<Person: 'Andrei Claude' ('nm3040811')>, <Person: 'Lori MacFadyen' ('nm4021428')>, <Person: 'Joseph Calleja' ('nm1788772')>, <Person: 'Henry Zammit Cordina' ('nm5727558')>]","A group of five surviving soldiers in the late 1300's are returning home, however along the journey they encounter an unforeseen turn of events."
tt1815862,After Earth,2013,4.9,"['Action', 'Adventure', 'Sci-Fi']","[<Person: 'Jaden Smith' ('nm1535523')>, <Person: 'David Denman' ('nm0219292')>, <Person: 'Will Smith' ('nm0000226')>, <Person: 'Sophie Okonedo' ('nm0645683')>]","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."
tt0838247,After.Life,2009,5.9,"['Drama', 'Horror', 'Mystery', 'Thriller']","[<Person: 'Christina Ricci' ('nm0000207')>, <Person: 'Liam Neeson' ('nm0000553')>, <Person: 'Justin Long' ('nm0519043')>, <Person: 'Chandler Canterbury' ('nm2425105')>]","After a car accident, a young woman who is caught between life and death, meets a funeral director who appears to have the gift of transitioning the dead into the afterlife."
tt2312890,Afternoon Delight,2013,5.8,"['Comedy', 'Drama']","[<Person: 'Kathryn Hahn' ('nm1063517')>, <Person: 'Link Ruiz' ('nm3433566')>, <Person: 'Cesar Garcia' ('nm1075323')>, <Person: 'Jane Lynch' ('nm0528331')>]",Rachel is a quick-witted and lovable stay-at-home mom. Frustrated with the realities of preschool auctions...
tt2475846,Against the Wild,2013,4.7,"['Adventure', 'Family']","[<Person: 'CJ Adams' ('nm2640264')>, <Person: 'Erin Pitt' ('nm3879377')>, <Person: 'Natasha Henstridge' ('nm0000449')>, <Person: 'Ted Whittall' ('nm0926471')>]","Two siblings and their devoted dog become lost in the wilderness and must learn how to combine their skills, trust their instincts and navigate a terrain as beautiful as it is untamed."
tt2054790,Age of Uprising: The Legend of Michael Kohlhaas,2013,6.1,"['Drama', 'History']","[<Person: 'Mads Mikkelsen' ('nm0586568')>, <Person: 'Mélusine Mayance' ('nm3274621')>, <Person: 'Delphine Chuillot' ('nm0161046')>, <Person: 'David Kross' ('nm1269088')>]","In the 16th century in the Cévennes, a horse dealer by the name of Michael Kohlhaas leads a happy family life. When a lord treats him unjustly, he raises an army and puts the country to fire and sword in order to have his rights restored."
tt2364582,Agents of S.H.I.E.L.D.,2013,7.5,"['Action', 'Drama', 'Sci-Fi', 'Thriller']","[<Person: 'Clark Gregg' ('nm0163988')>, <Person: 'Ming-Na Wen' ('nm0001840')>, <Person: 'Brett Dalton' ('nm3474430')>, <Person: 'Iain De Caestecker' ('nm0207691')>]","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
tt0377031,The Agronomist,2003,7.5,"['Documentary', 'Biography', 'History']","[<Person: 'Jean Dominique' ('nm0231608')>, <Person: 'Aboudja' ('nm0008886')>, <Person: 'Ronald Reagan' ('nm0001654')>]","The true story of Jean Dominique, a Haitian radio journalist and human rights activist."
tt0103639,Aladdin,1992,8,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","[<Person: 'Scott Weinger' ('nm0918334')>, <Person: 'Robin Williams' ('nm0000245')>, <Person: 'Linda Larkin' ('nm0488306')>, <Person: 'Jonathan Freeman' ('nm0293455')>]","When a street urchin vies for the love of a beautiful princess, he uses a genie's magic power to make himself off as a prince in order to marry her."
tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,"['Comedy', 'Family']","[<Person: 'Steve Carell' ('nm0136797')>, <Person: 'Jennifer Garner' ('nm0004950')>, <Person: 'Ed Oxenbould' ('nm4590837')>, <Person: 'Dylan Minnette' ('nm1910255')>]","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day."
tt1014759,Alice in Wonderland,2010,6.5,"['Adventure', 'Family', 'Fantasy']","[<Person: 'Mia Wasikowska' ('nm1985859')>, <Person: 'Johnny Depp' ('nm0000136')>, <Person: 'Helena Bonham Carter' ('nm0000307')>, <Person: 'Anne Hathaway' ('nm0004266')>]","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
tt2474972,Alien Outpost,2014,4.8,"['Action', 'Sci-Fi', 'Thriller']","[<Person: 'Adrian Paul' ('nm0001600')>, <Person: 'Brandon Auret' ('nm1409827')>, <Person: 'Reiley McClendon' ('nm0565823')>, <Person: 'Rick Ravanello' ('nm0712262')>]",A documentary crew follows an elite unit of soldiers in the wake of an alien invasion.
tt2017038,All Is Lost,2013,6.9,"['Action', 'Adventure', 'Drama']",[<Person: 'Robert Redford' ('nm0000602')>],"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face."
tt0221603,Super Mario All-Stars,1993,9,"['Action', 'Adventure', 'Family', 'Fantasy']",[],"A compilation of Super Mario Bros. and its two sequels, along with the Japanese version of Super Mario Bros. 2 (The Lost Levels)."
