Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Center Director,canonical_Neighborhood,canonical_Address,canonical_Column,canonical_Eearly Head Start Fund,canonical_Funded Enrollment,canonical_Website,canonical_Program Name,canonical_Site name,canonical_Zip,canonical_Purple binder service type,canonical_Ounce of Prevention Description,canonical_Source,canonical_Number per Site EHS,canonical_Executive Director,canonical_Length of Day,canonical_Fax,canonical_Phone,canonical_Column2,canonical_Director,canonical_Email Address,canonical_ECE Available Programs,canonical_Program Option,canonical_Id,canonical_Head Start Fund,canonical_NAEYC Program Id,canonical_CC fund,canonical_Agency,canonical_IDHS Provider ID,canonical_NAEYC Valid Until,canonical_Number per Site HS,canonical_Progmod
853,,16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'austin',b'1120 n lamon avenue',b'',b'',b'',b'',b'child care',b'bethel new life',b'60651',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'6267760',b'child care',b'',b'',b'cp',b'',b'17',b'',b'',b'',b'',b'',b'',b'',b''
10,1.0,18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1124 w ainslie st',b'',b'',b'',b'',b'state pre-kindergarten',b'south east asia center - south-east asia center(ainslie)',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'part day/full day',b'',b'9897433',b'',b'',b'',b'',b'',b'18',b'',b'',b'',b'',b'',b'',b'',b''
11,1.0,19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.adasmckinley.org',b'',b'11410 s edbrooke',b'',b'anna luna',b'ada s. mckinley community services',b'no',b'child care',b'ada s. mckinley community services - mckinley - roseland',b'60628',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'7021ps(hs collaboration with childcare)',b'half day/full day',b'',b'4681918',b'child care',b'',b'',"b'george jones, jr.'",b'roseland',b'1235',b'',b'',b'yes',b'',b'',b'anna luna',b'',b'no'
11,1.0,20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.adasmckinley.org',b'',b'11410 s edbrooke',b'',b'anna luna',b'ada s. mckinley community services',b'no',b'child care',b'ada s. mckinley community services - mckinley - roseland',b'60628',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'7021ps(hs collaboration with childcare)',b'half day/full day',b'',b'4681918',b'child care',b'',b'',"b'george jones, jr.'",b'roseland',b'1235',b'',b'',b'yes',b'',b'',b'anna luna',b'',b'no'
12,1.0,21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1145 w wilson ave',b'',b'',b'',b'',b'child care',b'board trustees-city colleges of chicago - truman',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'8781700',b'',b'',b'',b'',b'',b'21',b'',b'',b'',b'',b'',b'',b'',b''
13,1.0,22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'11640 s wentworth ave',b'',b'',b'',b'',b'child care',b'chicago state university - gingerbread house',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'9284041',b'',b'',b'',b'',b'',b'23',b'',b'',b'',b'',b'',b'',b'',b''
13,1.0,23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'11640 s wentworth ave',b'',b'',b'',b'',b'child care',b'chicago state university - gingerbread house',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'9284041',b'',b'',b'',b'',b'',b'23',b'',b'',b'',b'',b'',b'',b'',b''
14,1.0,24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'124 e 113th st',b'',b'',b'',b'',b'child care',b'chicago state university - academy of early education',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'7858163',b'',b'',b'',b'',b'',b'24',b'',b'',b'',b'',b'',b'',b'',b''
14,1.0,25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'124 e 113th st',b'',b'',b'',b'',b'child care',b'chicago state university - academy of early education',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'7858163',b'',b'',b'',b'',b'',b'24',b'',b'',b'',b'',b'',b'',b'',b''
16,1.0,26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,4930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1300 e 75th st',b'',b'',b'',b'',b'child care',b'easter seals society of metropolitan chicago - stepping stones early/childhood lear',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'4930000',b'',b'',b'',b'',b'',b'26',b'',b'',b'',b'',b'',b'',b'',b''
18,0.999992842858,27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.marcy-newberry.org',b'',b'1312 s racine',b'',b'kimberly johnson',b'marcy newberry association',b'no',b'head start',b'marcy newberry association - fosco abla center',b'60608',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'half day/full day',b'',b'7466024',b'early head start',b'',b'',b'gertrude ricks',b'near west side',b'28',b'',b'',b'yes',b'',b'',b'kimberly johnson',b'',b'yes'
18,0.999992842858,28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,7466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.marcy-newberry.org',b'',b'1312 s racine',b'',b'kimberly johnson',b'marcy newberry association',b'no',b'head start',b'marcy newberry association - fosco abla center',b'60608',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'4195it(child care it center), 7086ps (hs collaboration with'",b'half day/full day',b'',b'7466024',b'early head start',b'',b'',b'gertrude ricks',b'near west side',b'28',b'',b'',b'yes',b'',b'',b'kimberly johnson',b'',b'yes'
19,1.0,29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,2764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.usc.salvationarmy.com',b'',b'1345 n karlov',b'',b'zoraida fernandini',b'salvation army',b'no',b'child care',b'salvation army - incarnation / salvation army',b'60651',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'2764118',b'',b'',b'',b'claudia rowland',b'humboldt park',b'29',b'',b'',b'yes',b'',b'',b'zoraida fernandini',b'',b'no'
20,1.0,30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1354 w 61st st',b'',b'',b'',b'',b'child care',b'abraham lincoln centre - hope presbyterian church',b'60636',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'4715100',b'child care',b'',b'',b'',b'',b'30',b'',b'',b'',b'',b'',b'',b'',b''
21,0.999956184626,31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.catholiccharities.net',b'north lawndale',b'1449 s keeler',b'',"b""deborah o'brien""",b'catholic charities of the archdiocese of chicago',b'yes',b'child care',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'60623',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'half day/full day',b'',b'5213126',b'',b'',b'',b'cp',b'north lawndale',b'32',b'',b'',b'yes',b'',b'',"b""deborah o'brien""",b'',b'no'
21,0.999956184626,32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,5213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.catholiccharities.net',b'north lawndale',b'1449 s keeler',b'',"b""deborah o'brien""",b'catholic charities of the archdiocese of chicago',b'yes',b'child care',b'catholic charities of the archdiocese of chicago - our lady of lourdes',b'60623',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'2488it(child care it center), 7030ps(hs collaboration with c'",b'half day/full day',b'',b'5213126',b'',b'',b'',b'cp',b'north lawndale',b'32',b'',b'',b'yes',b'',b'',"b""deborah o'brien""",b'',b'no'
24,1.0,33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,2371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.lssi.org',b'',b'1500 n mason',b'',b'doris holden',b'lutheran social services of illinois',b'no',b'community partnerships',b'lutheran social services of illinois north austin head start',b'60651',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'4115it(child care it center), 7015ps(hs collaboration with c'","b'8-11 hours, varies by facility'",b'',b'2371930',b'',b'',b'',b'john schnier',b'austin',b'2226',b'',b'',b'yes',b'',b'',b'doris holden',b'',b'no'
25,1.0,34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,4710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1500 w 69th st',b'',b'',b'',b'',b'child care',b'marcy newberry association - new birth',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'4710699',b'',b'',b'',b'',b'',b'34',b'',b'',b'',b'',b'',b'',b'',b''
27,0.973532170057,35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,2785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.chicagoyouthcenters.org',b'humboldt park',b'1501 n harding',b'',b'elizabeth heilbronn',b'chicago youth centers',b'no',b'community partnerships',b'chicago youth centers - mt. moriah-taylor',b'60651',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'7065ps(hs collaboration with childcare & prek)',"b'8-11 hours, varies by facility'",b'',b'2785837',b'child care',b'',b'',b'harry wells',b'humboldt park',b'35',b'',b'',b'yes',b'',b'',b'elizabeth heilbronn',b'',b'no'
28,1.0,36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1539 s springfield ave',b'',b'',b'',b'',b'state pre-kindergarten',b'marcy newberry association - marcy center',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'7612300',b'',b'',b'',b'',b'',b'37',b'',b'',b'',b'',b'',b'',b'',b''
28,1.0,37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1539 s springfield ave',b'',b'',b'',b'',b'state pre-kindergarten',b'marcy newberry association - marcy center',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'7612300',b'',b'',b'',b'',b'',b'37',b'',b'',b'',b'',b'',b'',b'',b''
30,1.0,38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,2621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.marycrane.org',b'',b'1545 w morse',b'',b'guadalupe herrera',b'mary crane league',b'no',b'community partnerships',b'mary crane league mary crane center (morse)',b'60626',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'4270ps(hs collaboration with childcare & prek)',"b'8-11 hours, varies by facility'",b'',b'2621390',b'child care',b'',b'',b'lavetter terry',b'rogers park',b'38',b'',b'',b'yes',b'',b'',b'traci medina',b'',b'no'
32,1.0,39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,4937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1631 e 71st st',b'',b'jaqueline carter',b'salvation army',b'no',b'child care',b'south shore bible - maranatha',b'60649',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'4380ps(hs collaboration with childcare)',b'extended day',b'',b'4937500',b'child care',b'',b'',b'',b'south shore',b'39',b'',b'',b'yes',b'',b'',b'',b'',b'no'
33,1.0,40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,2278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.chicagocommons.org',b'humboldt park',b'1633 n hamlin',b'',b'nilda vargas',b'chicago commons association',b'yes',b'head start',b'chicago commons association - taylor center for new experiences',b'60647',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'2629it(child care it center), 3401ps(hs collaboration with c'",b'extended day',b'',b'2278551',b'child care',b'',b'',b'dan valliere',b'humboldt park',b'40',b'',b'',b'yes',b'',b'',b'vanessa powell',b'',b'no'
34,1.0,41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,8789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1652 w foster ave',b'',b'',b'',b'',b'child care',b'catholic charities of the archdiocese of chicago - ebenezer',b'60640',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'8789925',b'child care',b'',b'',b'',b'',b'41',b'',b'',b'',b'',b'',b'',b'',b''
35,1.0,42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,8262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1653 w 43rd st',b'',b'',b'',b'',b'state pre-kindergarten',b'chicago commons association - paulo freire',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'half day/full day',b'',b'8262669',b'',b'',b'',b'',b'',b'42',b'',b'',b'',b'',b'',b'',b'',b''
38,1.0,43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,5635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'www.eriehouse.org',b'west town',b'1701 w superior',b'',b'celena roldan',b'erie neighborhood house',b'no',b'child care',b'erie neighborhood house - erie community center',b'60622',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',"b'2640it(child care it center), 3256ps(hs collaboration with c'",b'half day/full day',b'',b'5635800',b'',b'',b'',b'cp',b'west town',b'43',b'',b'',b'yes',b'',b'',b'celena roldan',b'',b'no'
40,1.0,44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1711 w 35th st',b'',b'',b'',b'',b'child care',b'el valor - little tykes i',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'2547700',b'',b'',b'',b'',b'',b'591',b'',b'',b'',b'',b'',b'',b'',b''
40,1.0,45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,2547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'1711 w 35th st',b'',b'',b'',b'',b'child care',b'el valor - little tykes i',b'',b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'extended day',b'',b'2547700',b'',b'',b'',b'',b'',b'591',b'',b'',b'',b'',b'',b'',b'',b''
854,,46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
